Name	AREA	Category	Photo	Latitude	Longitude
Gournelou				38,01245	23,77467
Giwva				37,98939	23,73735
Tsipa				37,99555	23,72451
Liatsi				37,97793	23,74901
O Kosmos Twn Zwwn				38,00673	23,73127
Reptilia Nostra				37,98582	23,76293
Petsfarma				38,00345	23,80792
Oikositon				37,98815	23,7125
Positive Dogs				37,99911	23,75216
Kaderines.GR				37,97171	23,71021
Pet Planet				37,96277	23,7215
Petstar				37,96403	23,7479
Petshop 				38,0013	23,73763
Mporek				38,01486	23,73347
Lycapetus				37,98276	23,75146
Pantazis				37,96326	23,7465
Petcare Spiliotis				38,00807	23,72966
Efi's				37,98612	23,73957
Goufi				37,98372	23,72931
Nega's Corner				38,00131	23,72772
Pet On Line				38,02002	23,73116
Mini Farm				37,999	23,72487
Aqua Oasis				37,98502	23,72274
Pet Needs				38,00898	23,7313
koliopoulos				37,98789	23,73529
Papaiwannou				37,98551	23,74044
Greta				37,98997	23,76817
Petoccino				38,02314	23,74016
