Breed	Origin	Minimum Weight(Kg)	Maximum weight(Kg)	Recommended Daily Walk(klm)	Recommended Daily Play(mins)	American Kennel Club
Hanover Hound	Germany			6	60	Scenthound
Hungarian Hound	Hungary			6	60	Scenthound
Istrian Coarse- haired Hound	Croatia			6	60	Scenthound
Istrian Shorthaired Hound	Croatia			6	60	Scenthound
Mountain Cur	United States			6	60	Scenthound
Posavac Hound	Croatia			6	60	Scenthound
Sabueso Espaρol	Spain			6	60	Scenthound
Schillerstφvare	Sweden			6	60	Scenthound
Schweizerischer Niederlaufhund	Switzerland			6	60	Scenthound
Slovenskύ Kopov	Slovakia			6	60	Scenthound
Stephens Cur	United States			6	6	Scenthound
Styrian Coarse- haired Hound	Austria	20	30	6	60	
Westphalian Dachsbracke	Germany	8	12	2	20	Scenthound
Alaskan Klee Kai	United States	8	13	4	60	Northern Breed
Canadian Eskimo Dog	Canada			6	60	Northern Breed
Greenland Dog	Greenland			6	60	Northern Breed
Japanese Spitz	Japan			3	10	Northern Breed
Jδmthund	Sweden	16	25	4	30	Northern Breed
Shikoku	Japan	16	26	4	30	Northern Breed
Australian Kelpie	Australia	11	20	6	60	Herding Dog
Australian Stumpy Tail Cattle Dog[10]	Australia	13	28	4	30	Herding Dog
Bouvier des Ardennes	Belgium	30	45	4	30	Herding Dog
Carpathian Shepherd Dog	Romania	25	35	6	45	Herding Dog
Croatian Sheepdog	Croatia	13	20	4	30	Herding Dog
Cγo da Serra de Aires	Portugal	12	18	4	30	Herding Dog
Dutch Shepherd Dog	Netherlands	25	35	6	45	Herding Dog
English Shepherd	United States	25	35	4	45	Herding Dog
Lapponian Herder	Finland	25	35	6	30	Herding Dog
Saarlooswolfhond	Netherlands	36	41	6	45	Herding Dog
White Shepherd	United States	25	35	6	45	Herding Dog
Ariege Pointer	France	30	35	6	60	Gun Dog
Braque d'Auvergne	France	18	25	6	60	Gun Dog
Braque du Bourbonnais	France	18	25	6	60	Gun Dog
